2026-03-16 14:09:02 | INFO     | app.api.meals:27 | User 2 logged Chicken Breast (90.0g)
2026-03-16 14:10:11 | INFO     | app.api.meals:27 | User 2 logged Eggs (30.0g)
2026-03-16 14:13:54 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 14:16:00 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 14:16:00 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 14:16:00 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 14:16:00 | INFO     | app.ml.clustering:74 | User 1 → cluster 4
2026-03-16 14:16:00 | INFO     | app.api.users:32 | Created user: API Test User (id=1)
2026-03-16 14:16:01 | INFO     | app.ml.clustering:74 | User 2 → cluster 4
2026-03-16 14:16:01 | INFO     | app.api.users:32 | Created user: Test User (id=2)
2026-03-16 14:16:01 | INFO     | app.api.meals:27 | User 2 logged Test Chicken (150.0g)
2026-03-16 14:16:01 | INFO     | app.api.recommendations:20 | Recommendation request for user 2
2026-03-16 14:16:01 | INFO     | app.ml.recommender:87 | Generating recommendations for user 2 (Test User)
2026-03-16 14:16:01 | INFO     | app.ml.recommender:91 | Gaps: protein=79.5g  fiber=30.0g  calories=2346.8kcal
2026-03-16 14:16:01 | INFO     | app.ml.recommender:96 | Recent foods: ['Test Chicken']
2026-03-16 14:16:01 | INFO     | app.ml.recommender:100 | Rule candidates: []
2026-03-16 14:16:01 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 14:16:01 | INFO     | app.ml.recommender:146 | Top 1 recommendations generated
2026-03-16 14:16:01 | INFO     | app.ml.llm:58 | Sending prompt to claude-sonnet-4-20250514...
2026-03-16 14:16:01 | ERROR    | app.ml.llm:74 | LLM call failed: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZ6U2YekDAoWhdzRKsvDe'}
2026-03-16 14:16:01 | INFO     | app.ml.recommender:87 | Generating recommendations for user 2 (Test User)
2026-03-16 14:16:01 | INFO     | app.ml.recommender:91 | Gaps: protein=79.5g  fiber=30.0g  calories=2346.8kcal
2026-03-16 14:16:01 | INFO     | app.ml.recommender:96 | Recent foods: ['Test Chicken']
2026-03-16 14:16:01 | INFO     | app.ml.recommender:100 | Rule candidates: []
2026-03-16 14:16:01 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 14:16:01 | INFO     | app.ml.recommender:146 | Top 1 recommendations generated
2026-03-16 14:16:01 | INFO     | app.ml.recommender:87 | Generating recommendations for user 2 (Test User)
2026-03-16 14:16:01 | INFO     | app.ml.recommender:91 | Gaps: protein=79.5g  fiber=30.0g  calories=2346.8kcal
2026-03-16 14:16:01 | INFO     | app.ml.recommender:96 | Recent foods: ['Test Chicken']
2026-03-16 14:16:02 | INFO     | app.ml.recommender:100 | Rule candidates: []
2026-03-16 14:16:02 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 14:16:02 | INFO     | app.ml.recommender:146 | Top 1 recommendations generated
2026-03-16 14:16:02 | INFO     | app.ml.recommender:87 | Generating recommendations for user 2 (Test User)
2026-03-16 14:16:02 | INFO     | app.ml.recommender:91 | Gaps: protein=79.5g  fiber=30.0g  calories=2346.8kcal
2026-03-16 14:16:02 | INFO     | app.ml.recommender:96 | Recent foods: ['Test Chicken']
2026-03-16 14:16:02 | INFO     | app.ml.recommender:100 | Rule candidates: []
2026-03-16 14:16:02 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 14:16:02 | INFO     | app.ml.recommender:146 | Top 1 recommendations generated
2026-03-16 14:16:02 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 14:18:10 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 14:18:10 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 14:18:10 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 14:18:10 | INFO     | app.ml.clustering:74 | User 1 → cluster 4
2026-03-16 14:18:10 | INFO     | app.api.users:32 | Created user: API Test User (id=1)
2026-03-16 14:18:10 | INFO     | app.ml.clustering:74 | User 2 → cluster 4
2026-03-16 14:18:10 | INFO     | app.api.users:32 | Created user: Test User (id=2)
2026-03-16 14:18:10 | INFO     | app.api.meals:27 | User 2 logged Test Chicken (150.0g)
2026-03-16 14:18:10 | INFO     | app.api.recommendations:20 | Recommendation request for user 2
2026-03-16 14:18:10 | INFO     | app.ml.recommender:87 | Generating recommendations for user 2 (Test User)
2026-03-16 14:18:10 | INFO     | app.ml.recommender:91 | Gaps: protein=79.5g  fiber=30.0g  calories=2346.8kcal
2026-03-16 14:18:10 | INFO     | app.ml.recommender:96 | Recent foods: ['Test Chicken']
2026-03-16 14:18:10 | INFO     | app.ml.recommender:100 | Rule candidates: []
2026-03-16 14:18:10 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 14:18:10 | INFO     | app.ml.recommender:146 | Top 1 recommendations generated
2026-03-16 14:18:10 | INFO     | app.ml.llm:58 | Sending prompt to claude-sonnet-4-20250514...
2026-03-16 14:18:10 | ERROR    | app.ml.llm:74 | LLM call failed: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZ6UC4aKkGu5rVvhN7szi'}
2026-03-16 14:18:10 | INFO     | app.ml.recommender:87 | Generating recommendations for user 2 (Test User)
2026-03-16 14:18:10 | INFO     | app.ml.recommender:91 | Gaps: protein=79.5g  fiber=30.0g  calories=2346.8kcal
2026-03-16 14:18:10 | INFO     | app.ml.recommender:96 | Recent foods: ['Test Chicken']
2026-03-16 14:18:10 | INFO     | app.ml.recommender:100 | Rule candidates: []
2026-03-16 14:18:10 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 14:18:10 | INFO     | app.ml.recommender:146 | Top 1 recommendations generated
2026-03-16 14:18:10 | INFO     | app.ml.recommender:87 | Generating recommendations for user 2 (Test User)
2026-03-16 14:18:10 | INFO     | app.ml.recommender:91 | Gaps: protein=79.5g  fiber=30.0g  calories=2346.8kcal
2026-03-16 14:18:10 | INFO     | app.ml.recommender:96 | Recent foods: ['Test Chicken']
2026-03-16 14:18:10 | INFO     | app.ml.recommender:100 | Rule candidates: []
2026-03-16 14:18:10 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 14:18:10 | INFO     | app.ml.recommender:146 | Top 1 recommendations generated
2026-03-16 14:18:10 | INFO     | app.ml.recommender:87 | Generating recommendations for user 2 (Test User)
2026-03-16 14:18:10 | INFO     | app.ml.recommender:91 | Gaps: protein=79.5g  fiber=30.0g  calories=2346.8kcal
2026-03-16 14:18:10 | INFO     | app.ml.recommender:96 | Recent foods: ['Test Chicken']
2026-03-16 14:18:10 | INFO     | app.ml.recommender:100 | Rule candidates: []
2026-03-16 14:18:10 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 14:18:10 | INFO     | app.ml.recommender:146 | Top 1 recommendations generated
2026-03-16 14:18:10 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 14:56:20 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 14:56:20 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 14:56:20 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 14:57:14 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 15:11:58 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 15:11:58 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 15:11:58 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 15:13:29 | INFO     | app.api.recommendations:20 | Recommendation request for user 5
2026-03-16 15:13:29 | INFO     | app.ml.recommender:87 | Generating recommendations for user 5 (Eve)
